address,total_trades,winning_trades,win_rate,total_pnl_sol,total_pnl_usd,avg_pnl_per_trade_usd,best_trade_usd,worst_trade_usd,consistency_score,first_seen,last_active,solscan_url
FnYE3VneBqUPUCynNgDUYDeFVVZy2FpM8pbKqoFx8t36,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/FnYE3VneBqUPUCynNgDUYDeFVVZy2FpM8pbKqoFx8t36
ZLpfJrehoD9JWiK2oZbmNbBn14WmALEHxF2wcg5Dmog,4,3,75.00%,0.0851,7.02,1.75,2.75,-0.17,0.0,2025-12-15,2026-01-01,https://solscan.io/account/ZLpfJrehoD9JWiK2oZbmNbBn14WmALEHxF2wcg5Dmog
DMfkLi5WUnL1LVhqWFB9m47KGsZZUY55m3s2Pseqc1x7,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/DMfkLi5WUnL1LVhqWFB9m47KGsZZUY55m3s2Pseqc1x7
4FkPPicJp4wZYfVD4QgVieXBMPvdcypPYbCZinUZpxat,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/4FkPPicJp4wZYfVD4QgVieXBMPvdcypPYbCZinUZpxat
4WRN1zDzS43oKDTLXjaiQu8AigALPmhbp4pGE7fKabqw,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/4WRN1zDzS43oKDTLXjaiQu8AigALPmhbp4pGE7fKabqw
5Pg6jJkWwMKeXu8Bk4fxr83JhzLvei8rAg1xsfVbcH6d,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/5Pg6jJkWwMKeXu8Bk4fxr83JhzLvei8rAg1xsfVbcH6d
EzmsHQ2YoFfa21WsGLwdNQdZKbHEAnpWzHc8XwMivYdD,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/EzmsHQ2YoFfa21WsGLwdNQdZKbHEAnpWzHc8XwMivYdD
Stake11111111111111111111111111111111111111,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/Stake11111111111111111111111111111111111111
8EaMQJC5ut9bQBBGq1G3UHT3nuJbWvtm4dfNhxQCy7cY,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/8EaMQJC5ut9bQBBGq1G3UHT3nuJbWvtm4dfNhxQCy7cY
FyWm64QjdfuGWprQQHhwahbrJi9S8yJY6VuXjkxm3fqR,1,1,100.00%,0.0021,0.17,0.17,0.17,0.17,0.0,2026-03-24,2026-03-24,https://solscan.io/account/FyWm64QjdfuGWprQQHhwahbrJi9S8yJY6VuXjkxm3fqR
EchesyfXePKdLtoiZSL8pBe8Myagyy8ZRqsACNCFGnvp,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/EchesyfXePKdLtoiZSL8pBe8Myagyy8ZRqsACNCFGnvp
69YWzbWdBpQMiyoVbAmZBmzTAJBWiByAdoHgwKTZLVpL,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/69YWzbWdBpQMiyoVbAmZBmzTAJBWiByAdoHgwKTZLVpL
BGUMAp9Gq7iTEuizy4pqaxsTyUCBK68MDfK752saRPUY,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/BGUMAp9Gq7iTEuizy4pqaxsTyUCBK68MDfK752saRPUY
